Repo,  URL,  size (KB),  intent functions,  slots,  data sink module,  sinks found
callahant/alexa-skylanderpedia,  https://github.com/callahant/alexa-skylanderpedia, 4, 2, 1,  n/a,  n/a
deniswells59/alexa-mad-libs,  https://github.com/deniswells59/alexa-mad-libs, 25, 2, 3,  n/a,  n/a
dennis-learningpool/alexa-jira-skill,  https://github.com/dennis-learningpool/alexa-jira-skill, 30, 2, 2,  n/a,  n/a
jimsorock/baby-trakr,  https://github.com/jimsorock/baby-trakr, 23, 2, 1,  n/a,  n/a
jlippold/alexa-app_find-my-phones,  https://github.com/jlippold/alexa-app_find-my-phones, 22, 2, 1,  n/a,  n/a
Jordomav/alexa-greeting,  https://github.com/Jordomav/alexa-greeting, 17, 2, 1,  n/a,  n/a
kenibarwick/hello_alexa,  https://github.com/kenibarwick/hello_alexa, 13, 2, 2,  n/a,  n/a
mikesae/alexa-chef,  https://github.com/mikesae/alexa-chef, 25, 2, 4,  n/a,  n/a
NJLaPrell/alexa-bible-question,  https://github.com/NJLaPrell/alexa-bible-question, 21, 2, 1,  n/a,  n/a
objectiveSee/AlexaBoilerplate,  https://github.com/objectiveSee/AlexaBoilerplate, 35, 2, 1,  n/a,  n/a
okofish/majorkeys,  https://github.com/okofish/majorkeys, 207, 2, 0,  n/a,  n/a
omnius45467/guest-skill,  https://github.com/omnius45467/guest-skill, 61, 2, 1,  n/a,  n/a
scottjustin5000/alexa-twitter-vibe,  https://github.com/scottjustin5000/alexa-twitter-vibe, 49, 2, 0,  n/a,  n/a
simonfl3tcher/spacefact,  https://github.com/simonfl3tcher/spacefact, 790, 2, 1,  n/a,  n/a
victoraldir/Dragon-Hung-Alexa-Skills,  https://github.com/victoraldir/Dragon-Hung-Alexa-Skills, 11, 2, 1,  n/a,  n/a
yjkimjunior/yelper-safe,  https://github.com/yjkimjunior/yelper-safe, 25, 2, 2,  n/a,  n/a
alexbariyev/alexa-where-is-my-beer,  https://github.com/alexbariyev/alexa-where-is-my-beer, 10, 1, 1,  n/a,  n/a
BedlamBros/urbandictionary-alexa,  https://github.com/BedlamBros/urbandictionary-alexa, 1218, 1, 1,  n/a,  n/a
coldlink/alexa-node-wol,  https://github.com/coldlink/alexa-node-wol, 73, 1, 1,  n/a,  n/a
dennis-learningpool/alexa-insult-skill,  https://github.com/dennis-learningpool/alexa-insult-skill, 13, 1, 1,  n/a,  n/a
dennis-learningpool/alexa-slack-skill,  https://github.com/dennis-learningpool/alexa-slack-skill, 25, 1, 1,  n/a,  n/a
discopatrick/whats-in-my-freezer,  https://github.com/discopatrick/whats-in-my-freezer, 8, 1, 1,  n/a,  n/a
gibbsoft/alexa_backwards,  https://github.com/gibbsoft/alexa_backwards, 12, 1, 1,  n/a,  n/a
joecodecreations/alexa-assistant,  https://github.com/joecodecreations/alexa-assistant, 10, 1, 1,  n/a,  n/a
karlbunch/alexa-influxdb,  https://github.com/karlbunch/alexa-influxdb, 31, 1, 1,  n/a,  n/a
khernand/AlexaSkill,  https://github.com/khernand/AlexaSkill, 180, 1, 0,  n/a,  n/a
marcrd/dex-alexa-skill,  https://github.com/marcrd/dex-alexa-skill, 55, 1, 1,  n/a,  n/a
matt-kruse/echottt,  https://github.com/matt-kruse/echottt, 19, 1, 1,  n/a,  n/a
mattszabo/alexa-skills,  https://github.com/mattszabo/alexa-skills, 15, 1, 1,  n/a,  n/a
michaeljhopkins/dominospizza-alexa-skill,  https://github.com/michaeljhopkins/dominospizza-alexa-skill, 24, 1, 1,  n/a,  n/a
michaeljhopkins/pandorabots-alexa-skill,  https://github.com/michaeljhopkins/pandorabots-alexa-skill, 23, 1, 1,  n/a,  n/a
michaeljhopkins/urbandictionary-alexa-skill,  https://github.com/michaeljhopkins/urbandictionary-alexa-skill, 300, 1, 1,  n/a,  n/a
nbuhay/alexa-helloWorld,  https://github.com/nbuhay/alexa-helloWorld, 18, 1, 0,  n/a,  n/a
ndywicki/alexa-home-lights,  https://github.com/ndywicki/alexa-home-lights, 619, 1, 1,  n/a,  n/a
ocelotsloth/alexa-whats-open-skill,  https://github.com/ocelotsloth/alexa-whats-open-skill, 1939, 1, 1,  n/a,  n/a
pransil/faa-info,  https://github.com/pransil/faa-info, 15, 1, 1,  n/a,  n/a
pwanjarip/comms-spin-the-wheel,  https://github.com/pwanjarip/comms-spin-the-wheel, 17, 1, 1,  n/a,  n/a
sambluca/alexa-pokemon-card-generator,  https://github.com/sambluca/alexa-pokemon-card-generator, 14, 1, 1,  n/a,  n/a
stentx/alexa-imdb,  https://github.com/stentx/alexa-imdb, 11, 1, 1,  n/a,  n/a
tjlav5/alexa-mta,  https://github.com/tjlav5/alexa-mta, 37360, 1, 1,  n/a,  n/a
