Repo, URL, size (KB), intent functions, slots, data sink module, sinks found
Notesong/faa-info, https://github.com/Notesong/faa-info, 18, 1, 1, request-promise, 1
objectiveSee/AlexaBoilerplate, https://github.com/objectiveSee/AlexaBoilerplate, 35, 2, 1, n/a, n/a
ocelotsloth/alexa-whats-open-skill, https://github.com/ocelotsloth/alexa-whats-open-skill, 1939, 1, 1, n/a, n/a
okofish/majorkeys, https://github.com/okofish/majorkeys, 207, 2, 0, n/a, n/a
omnius45467/Alexa-Joke-Skill, https://github.com/omnius45467/Alexa-Joke-Skill, 21, 2, 1, request, 1
omnius45467/Bitwise-Skill, https://github.com/omnius45467/Bitwise-Skill, 30, 5, 1, n/a, n/a
omnius45467/guest-skill, https://github.com/omnius45467/guest-skill, 61, 2, 1, n/a, n/a
omnius45467/omnius-alexa, https://github.com/omnius45467/omnius-alexa, 109, 2, 1, request, 4
omniusAnthropos/Omnius-Skill-2, https://github.com/omniusAnthropos/Omnius-Skill-2, 23, 5, 1, request, 6
ownzandy/smart-home-alexa-samsung-tv-skill, https://github.com/ownzandy/smart-home-alexa-samsung-tv-skill, 15, 20, 1, request, 1
ownzandy/smart-home-alexa-sensi-thermostat-skill, https://github.com/ownzandy/smart-home-alexa-sensi-thermostat-skill, 11, 6, 1, request, 1
patfreeman/alexa-app-kegbot, https://github.com/patfreeman/alexa-app-kegbot, 44, 4, 2, n/a, n/a
pepsico-ecommerce/partyplanner, https://github.com/pepsico-ecommerce/partyplanner, 36, 10, 1, n/a, n/a
pettazz/tvrobot-skill, https://github.com/pettazz/tvrobot-skill, 32, 4, 1, n/a, n/a
Plewacka/Alexa-Home, https://github.com/Plewacka/Alexa-Home, 860, 1, 1, n/a, n/a
Plewacka/Todays-Schedule, https://github.com/Plewacka/Todays-Schedule, 10, 1, 1, n/a, n/a
Ponkapa/home_hero_alexa, https://github.com/Ponkapa/home_hero_alexa, 6463, 5, 3, n/a, n/a
PortlandMagicNight/2016-11-2-Alexa, https://github.com/PortlandMagicNight/2016-11-2-Alexa, 8281, 3, 1, n/a, n/a
pransil/faa-info, https://github.com/pransil/faa-info, 15, 1, 1, n/a, n/a
praveenmenon/healthcare, https://github.com/praveenmenon/healthcare, 9, 3, 2, n/a, n/a
praveenmenon/NFL, https://github.com/praveenmenon/NFL, 137, 4, 2, n/a, n/a
praveenmenon/Q-Senior, https://github.com/praveenmenon/Q-Senior, 54, 13, 15, request-promise, 9
primaryobjects/saavyConsumer, https://github.com/primaryobjects/saavyConsumer, 46, 6, 1, n/a, n/a
pwanjarip/comms-spin-the-wheel, https://github.com/pwanjarip/comms-spin-the-wheel, 17, 1, 1, n/a, n/a
pYr0x/alexa-filmbewertung, https://github.com/pYr0x/alexa-filmbewertung, 587, 6, 2, n/a, n/a
rajashekar2012/AlexaSkills, https://github.com/rajashekar2012/AlexaSkills, 10, 2, 4, n/a, n/a
razzad/denon-alexa, https://github.com/razzad/denon-alexa, 63, 1, 2, request-promise, 1
razzad/denonen-alexa-us, https://github.com/razzad/denonen-alexa-us, 3219, 1, 2, request-promise, 1
RFMediaLab/alexa-cmu-dining, https://github.com/RFMediaLab/alexa-cmu-dining, 10882, 3, 1, request-promise, 1
ricardo7k/AlexaSkillRfo, https://github.com/ricardo7k/AlexaSkillRfo, 18, 1, 1, request-promise, 1
ricardo-hdz/alexa-one-rep-max, https://github.com/ricardo-hdz/alexa-one-rep-max, 242, 6, 3, n/a, n/a
ricardo-hdz/brewers-table, https://github.com/ricardo-hdz/brewers-table, 358, 6, 1, n/a, n/a
ricardo-hdz/stocks-recommendation, https://github.com/ricardo-hdz/stocks-recommendation, 78, 6, 1, request-promise, 1
rickwargo/mathKata, https://github.com/rickwargo/mathKata, 61, 15, 3, n/a, n/a
rlandows/alexa_songs, https://github.com/rlandows/alexa_songs, 9, 1, 1, n/a, n/a
rsanjuseason/AlexaTestSkill, https://github.com/rsanjuseason/AlexaTestSkill, 10, 1, 1, n/a, n/a
rsanjuseason/targetRecruitAlexaSkill, https://github.com/rsanjuseason/targetRecruitAlexaSkill, 13, 1, 1, n/a, n/a
rsatyan/alexa, https://github.com/rsatyan/alexa, 41, 25, 1, request, 0
ryan-marsh/alexa-bookvalue, https://github.com/ryan-marsh/alexa-bookvalue, 19, 4, 1, n/a, n/a
RyanParsley/alexa-device-status, https://github.com/RyanParsley/alexa-device-status, 2423, 2, 2, request-promise, 2
s8sachin/mysore_city_bus_alexa_app, https://github.com/s8sachin/mysore_city_bus_alexa_app, 15, 3, 1, request-promise, 1
sadranyi/faa-info, https://github.com/sadranyi/faa-info, 17261, 6, 1, request-promise, 1
sagarrr/alexa-skill, https://github.com/sagarrr/alexa-skill, 4, 1, 0, n/a, n/a
Sahilshetye/CTASkill, https://github.com/Sahilshetye/CTASkill, 89, 1, 1, request, 1
sambluca/alexa-pokemon-card-generator, https://github.com/sambluca/alexa-pokemon-card-generator, 14, 1, 1, n/a, n/a
scottjustin5000/alexa-insightly, https://github.com/scottjustin5000/alexa-insightly, 242, 15, 0, request-promise, 5
scottjustin5000/alexa-twitter-vibe, https://github.com/scottjustin5000/alexa-twitter-vibe, 49, 2, 0, n/a, n/a
sibbl/akinator-skill, https://github.com/sibbl/akinator-skill, 46, 9, 0, request, 5
simonfl3tcher/spacefact, https://github.com/simonfl3tcher/spacefact, 790, 2, 1, n/a, n/a
simplymarcello/AlexaIONSkill, https://github.com/simplymarcello/AlexaIONSkill, 17, 2, 1, n/a, n/a
siva3378/alexa-test, https://github.com/siva3378/alexa-test, 11, 1, 1, n/a, n/a
sliute/AlexaBookEvent, https://github.com/sliute/AlexaBookEvent, 108, 18, 14, n/a, n/a
stentx/alexa-imdb, https://github.com/stentx/alexa-imdb, 11, 1, 1, n/a, n/a
sunnykarira/airportinfo, https://github.com/sunnykarira/airportinfo, 21, 1, 1, request-promise, 1
sxs19/WagAlexaSkill, https://github.com/sxs19/WagAlexaSkill, 30, 5, 1, request, 1
TcsFox/AlexaTestSkill, https://github.com/TcsFox/AlexaTestSkill, 9, 1, 1, n/a, n/a
telkomops/alexa-appjs, https://github.com/telkomops/alexa-appjs, 12, 1, 1, n/a, n/a
theTechGrandma/whereIsIt, https://github.com/theTechGrandma/whereIsIt, 29, 1, 1, request-promise, 1
tjlav5/alexa-mta, https://github.com/tjlav5/alexa-mta, 37360, 1, 1, n/a, n/a
tollmanz/alexa-traffic, https://github.com/tollmanz/alexa-traffic, 18, 1, 2, request, 1
tollmanz/alexa-wunderlist, https://github.com/tollmanz/alexa-wunderlist, 26, 1, 2, request, 0
unityfire/alexa-ha, https://github.com/unityfire/alexa-ha, 179, 12, 9, n/a, n/a
victoraldir/Books-Skill-Alexa, https://github.com/victoraldir/Books-Skill-Alexa, 34, 6, 5, request, 1
victoraldir/Dragon-Hung-Alexa-Skills, https://github.com/victoraldir/Dragon-Hung-Alexa-Skills, 11, 2, 1, n/a, n/a
vishalk90/AlexaChef_AmazonEco, https://github.com/vishalk90/AlexaChef_AmazonEco, 29, 2, 1, request-promise, 1
weitianheng/Konfi_alexa_testApp, https://github.com/weitianheng/Konfi_alexa_testApp, 10, 1, 1, n/a, n/a
whatsPaulUpTo/alexa-spotify-skill, https://github.com/whatsPaulUpTo/alexa-spotify-skill, 27, 4, 1, request-promise, 3
willblaschko/hey-dad, https://github.com/willblaschko/hey-dad, 46, 3, 1, n/a, n/a
willis7/bin-schedule-skill, https://github.com/willis7/bin-schedule-skill, 28, 1, 1, request-promise, 1
woodsb/HistStories, https://github.com/woodsb/HistStories, 19, 6, 1, n/a, n/a
yjkimjunior/yelper-safe, https://github.com/yjkimjunior/yelper-safe, 25, 2, 2, n/a, n/a
zampolli75/isds_alexa_bot, https://github.com/zampolli75/isds_alexa_bot, 82, 12, 1, n/a, n/a
zorostang/Alexa-Skill-Divvy-Data, https://github.com/zorostang/Alexa-Skill-Divvy-Data, 362, 4, 1, request-promise, 1
